Text,Category,Noun,Personal Pronoun,Adverb,Verb,Adjective,Preposition,Modal,Conjunction,Determiner,Verb present,Verb past,Verb past participle
 I walk to the store.,Present Tense,,,,,,,,,,,,
 She sings a beautiful song.,Present Tense,,,,,,,,,,,,
 He reads a book.,Present Tense,,,,,,,,,,,,
 We play a game.,Present Tense,,,,,,,,,,,,
 You work hard.,Present Tense,,,,,,,,,,,,
 They watch a movie.,Present Tense,,,,,,,,,,,,
 I eat an apple.,Present Tense,,,,,,,,,,,,
 She drinks a glass of water.,Present Tense,,,,,,,,,,,,
 He writes a letter.,Present Tense,,,,,,,,,,,,
 We have a picnic.,Present Tense,,,,,,,,,,,,
 You take a nap.,Present Tense,,,,,,,,,,,,
 They go for a drive.,Present Tense,,,,,,,,,,,,
 I climb a tree.,Present Tense,,,,,,,,,,,,
 She types an email.,Present Tense,,,,,,,,,,,,
 He listens to music.,Present Tense,,,,,,,,,,,,
 We go to the beach.,Present Tense,,,,,,,,,,,,
 You make a cake.,Present Tense,,,,,,,,,,,,
 They draw a picture.,Present Tense,,,,,,,,,,,,
 I buy a shirt.,Present Tense,,,,,,,,,,,,
 She orders lunch.,Present Tense,,,,,,,,,,,,
 He mows the lawn.,Present Tense,,,,,,,,,,,,
 We plant a garden.,Present Tense,,,,,,,,,,,,
 You feed the birds.,Present Tense,,,,,,,,,,,,
 They go to the park.,Present Tense,,,,,,,,,,,,
 I clean my room.,Present Tense,,,,,,,,,,,,
 She washes the dishes.,Present Tense,,,,,,,,,,,,
 He cooks dinner.,Present Tense,,,,,,,,,,,,
 We ride bikes.,Present Tense,,,,,,,,,,,,
 You paint a picture.,Present Tense,,,,,,,,,,,,
 They jump rope.,Present Tense,,,,,,,,,,,,
 I write a poem.,Present Tense,,,,,,,,,,,,
 She reads a magazine.,Present Tense,,,,,,,,,,,,
 He plays a sport.,Present Tense,,,,,,,,,,,,
 We go for a walk.,Present Tense,,,,,,,,,,,,
 You take a bath.,Present Tense,,,,,,,,,,,,
 They take out the trash.,Present Tense,,,,,,,,,,,,
 I watch a sunset.,Present Tense,,,,,,,,,,,,
 She sends a text.,Present Tense,,,,,,,,,,,,
 He takes a selfie.,Present Tense,,,,,,,,,,,,
 We dance in the rain.,Present Tense,,,,,,,,,,,,
 You catch a fish.,Present Tense,,,,,,,,,,,,
 They go fishing.,Present Tense,,,,,,,,,,,,
 I swim in the pool.,Present Tense,,,,,,,,,,,,
 She roller skates.,Present Tense,,,,,,,,,,,,
 He plays chess.,Present Tense,,,,,,,,,,,,
 We visit a museum.,Present Tense,,,,,,,,,,,,
 You make a sandwich.,Present Tense,,,,,,,,,,,,
 They go to the movies.,Present Tense,,,,,,,,,,,,
 I ride a horse.,Present Tense,,,,,,,,,,,,
 She goes to the library.,Present Tense,,,,,,,,,,,,
 He flies a kite.,Present Tense,,,,,,,,,,,,
 We go camping.,Present Tense,,,,,,,,,,,,
 You play cards.,Present Tense,,,,,,,,,,,,
 They go on a hike.,Present Tense,,,,,,,,,,,,
 I take a road trip.,Present Tense,,,,,,,,,,,,
 She fixes her car.,Present Tense,,,,,,,,,,,,
 He builds a model.,Present Tense,,,,,,,,,,,,
 We create a website.,Present Tense,,,,,,,,,,,,
 You ride a bus.,Present Tense,,,,,,,,,,,,
 They watch the stars.,Present Tense,,,,,,,,,,,,
 I write a story.,Present Tense,,,,,,,,,,,,
 She rides a bike.,Present Tense,,,,,,,,,,,,
 He plays a video game.,Present Tense,,,,,,,,,,,,
 We go bowling.,Present Tense,,,,,,,,,,,,
 You go shopping.,Present Tense,,,,,,,,,,,,
 They do a science experiment.,Present Tense,,,,,,,,,,,,
 I make a pizza.,Present Tense,,,,,,,,,,,,
 She takes a selfie.,Present Tense,,,,,,,,,,,,
 He goes to a concert.,Present Tense,,,,,,,,,,,,
 We go to a carnival.,Present Tense,,,,,,,,,,,,
 You water the plants.,Present Tense,,,,,,,,,,,,
 They explore a cave.,Present Tense,,,,,,,,,,,,
 I look for four-leaf clovers.,Present Tense,,,,,,,,,,,,
 She collects seashells.,Present Tense,,,,,,,,,,,,
 He stares at the clouds.,Present Tense,,,,,,,,,,,,
 We go to the zoo.,Present Tense,,,,,,,,,,,,
 You play hide and seek.,Present Tense,,,,,,,,,,,,
 They go to the fair.,Present Tense,,,,,,,,,,,,
 I take a nap.,Present Tense,,,,,,,,,,,,
 She goes on a picnic.,Present Tense,,,,,,,,,,,,
 He goes to a theme park.,Present Tense,,,,,,,,,,,,
 We make a snowman.,Present Tense,,,,,,,,,,,,
 You go for a jog.,Present Tense,,,,,,,,,,,,
 They practice a musical instrument.,Present Tense,,,,,,,,,,,,
 I search for a job.,Present Tense,,,,,,,,,,,,
 She goes to the bank.,Present Tense,,,,,,,,,,,,
 He starts a business.,Present Tense,,,,,,,,,,,,
 We learn a new language.,Present Tense,,,,,,,,,,,,
 You volunteer at a soup kitchen.,Present Tense,,,,,,,,,,,,
 They watch a play.,Present Tense,,,,,,,,,,,,
 I have a barbecue.,Present Tense,,,,,,,,,,,,
 She goes to a museum.,Present Tense,,,,,,,,,,,,
 He takes a road trip.,Present Tense,,,,,,,,,,,,
 We go to the gym.,Present Tense,,,,,,,,,,,,
 You paint a wall.,Present Tense,,,,,,,,,,,,
 They go to a concert.,Present Tense,,,,,,,,,,,,
 I build a model airplane.,Present Tense,,,,,,,,,,,,
 She skips stones.,Present Tense,,,,,,,,,,,,
 He plants a tree.,Present Tense,,,,,,,,,,,,
 We go to the circus.,Present Tense,,,,,,,,,,,,
 I will finish my homework in an hour.,Future Tense,,,,,,,,,,,,
 She will meet her friend at the park tomorrow.,Future Tense,,,,,,,,,,,,
 We will go to the movies this weekend.,Future Tense,,,,,,,,,,,,
 They will buy a new car next week.,Future Tense,,,,,,,,,,,,
 I will call my parents tomorrow evening.,Future Tense,,,,,,,,,,,,
 He will start his new job next month.,Future Tense,,,,,,,,,,,,
 She will travel to Europe this summer.,Future Tense,,,,,,,,,,,,
 We will go camping in the mountains next weekend.,Future Tense,,,,,,,,,,,,
